ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
2704,0.6954,2098000,1.529,50490,0.6277,2371,1.984,1947,1.473,5540,6.202,139.1,3.199
2818,0.6409,83390,4.414,137200,0.4536,2734,1.225,1802,1.212,5216,5.959,181.4,2.77
3939,0.718,5263,9.548,26120,0.8349,3064,1.108,1921,1.421,6033,6.568,194.8,0.8339
2077,0.7295,11790000,8.18,13220,1.184,2681,1.236,2019,1.19,1038000,0.6626,100.3,1.004
2568,0.704,174500000,2.396,41920,0.6168,2799,1.103,1897,1.36,1038000,0.6626,192.6,1.457
3318,0.5962,11300000,1.881,67640,0.5535,2626,0.9595,1948,1.29,1258000,4.42,120.4,1.263
2394,0.611,643300000,9.264,81860,0.5033,2772,1.595,1948,1.353,18870,2.604,125,0.5977
2595,0.7116,6673000,6.44,30400,0.6854,2953,1.595,1645,1.308,13340,2.786,187.9,0.8677
2861,0.644,34550000,5.664,26610,0.6545,3384,0.9985,1742,1.457,26220,1.771,136.3,0.8556
3663,0.6506,2368000,2.179,163100,0.3869,3181,1.08,1667,1.322,137200000,2.924,146.7,0.5976
2968,0.7046,77400,1.374,47160,0.5676,3062,1.03,1722,1.47,7035,6.219,154.7,0.9101
3534,0.4645,1133000,2.767,36690,0.6354,3395,1.219,1703,1.518,206400000,3.337,128.3,1.038
2612,0.7285,747100,4.586,31310,0.7206,2541,1.45,1685,1.306,118800,1.722,157.1,1.25
8969,0.2843,18280,4.19,168800,0.431,3032,1.536,1874,1.343,19210,1.937,128.7,0.8469
5110,0.5567,8442,6.198,33660,0.7216,2572,1.137,1961,1.351,63370000,5.368,156.1,0.8319
3267,0.5437,1106000,4.77,11380,1.025,3068,1.113,2023,1.291,2.09E+09,0.8813,124.3,0.8642
1939,0.7433,52230,9.853,14000,0.8804,2965,1.045,1661,1.512,6729,5.105,66.84,0.6162
2040,0.6777,14040000,3.721,21960,0.8032,2930,1.305,1871,1.722,6729,5.105,58.07,0.7971
3136,0.5934,39220,3.932,53360,0.5889,2948,1.117,1668,1.304,7222,5.089,116.8,0.886
3117,0.674,6069,6.837,17220,0.9056,2778,1.619,1757,1.497,7222,5.089,151.1,1.104
2170,0.7452,32700000,7.178,10130,1.117,3047,1.078,1901,1.154,7739,4.163,183.8,1.295
2985,0.6535,7569,8.232,11770,1.149,3612,0.9362,1692,1.422,7739,4.163,117.6,2.022
3883,0.6364,52110000,7.81,8472,1.259,3252,1.204,1765,1.381,9125,2.919,135.8,1.423
2659,0.7514,57900,9.435,53250,0.5685,2181,1.308,1775,1.442,757500,1.038,181,2.303
2698,0.7444,4.22E+09,2.646,22140,0.8209,3082,1.43,1830,1.244,444800,0.6902,121.7,0.7929
2486,0.7127,55730,6.354,14450,0.9529,2902,0.956,1883,1.09,2594000,0.6009,130.3,0.7466
3481,0.5469,3.44E+09,0.7819,12820,1.037,2806,1.484,1866,1.164,16860,3.05,140.2,0.8203
2818,0.6235,18880000,7.413,24710,0.747,2604,1.276,1678,1.483,10250,3.477,146.3,1.287
2168,0.9843,1.47E+09,0.619,14080,0.9654,2815,1.405,1837,1.285,7101,4.213,161.7,0.6272
3857,0.4351,11300,4.824,16920,0.9166,2858,1.304,1609,1.313,9556,3.052,229.6,0.8259
3196,0.6472,9236,5.832,23690,0.7794,2909,1.068,1867,1.585,8441,3.92,194.7,0.8846
7036,0.5053,3180000,7.309,25850,0.82,2709,1.016,1682,1.394,7186,4.189,183.8,1.123
2808,0.6478,18530,6.671,28050,0.5833,3551,0.8976,1774,1.321,8875,3.483,148.1,0.5654
2604,0.7916,119300000,2.081,26610,0.7995,2838,1.026,1939,1.363,13300,3.462,165.3,0.9826
2529,0.6944,4.02E+08,3.245,20180,0.8618,3351,1.036,1789,1.528,11150,2.726,149.3,1.291
2482,0.7801,370900000,3.559,14610,0.8649,3043,1.209,1936,1.493,16170000,5.257,176.4,1.333
4291,0.5702,37550,5.239,56570,0.5392,3223,0.9651,1704,1.332,708300,7.649,200.2,0.8371
2762,0.6711,1109000,7.736,45010,0.6064,2871,1.016,2106,1.423,8255000,5.374,183.7,0.8962
3297,0.5556,497500000,8.947,11190,1.104,2810,1.095,1978,1.211,61220,4.016,178.8,1.338
1596,0.7569,11040000,2.009,11390,1.102,2881,1.255,1693,1.222,46680000,2.309,155.7,0.9086
2349,0.7396,4740000,6.62,13130,0.9888,3026,1.373,1679,1.506,245200000,1.578,124.7,0.7223
3074,0.6971,2110000,6.334,38600,0.7444,3048,1.027,1876,1.417,166900,6.446,136.1,0.6993
2728,0.6186,165500,2.003,77690,0.5351,3034,1.488,1955,1.649,498700000,9.923,123.6,1.03
4066,0.5803,57370,5.806,31860,0.6914,2858,1.889,1700,1.37,437400000,7.003,110.1,0.5015
3003,0.5937,37430,8.362,30390,0.6393,3577,1.004,1704,1.402,199600,3.259,109.4,0.8185
2997,0.6937,570800000,6.721,110700,0.5287,3137,1.001,1607,1.638,1460000,5.839,248.4,0.7581
1850,0.918,68560000,5.861,23820,0.6268,3155,0.9983,1943,1.352,5550,6.786,133.2,0.982
3158,0.8072,1500000,5.479,50600,0.5856,2996,1.188,1883,1.338,5608,9.785,194.6,0.9667
3219,0.5059,240900,8.872,59870,0.5682,2496,1.434,1857,1.582,10440,4.236,130,0.747
