ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
7708,0.9285,9547,0.7576,16120000,0.4044,4667,2.165,5200,0.931,187900000,0.2804,1047,0.7975
5812,1.033,9778,0.6401,2.02E+09,0.2028,4112,2.164,4893,0.9325,216800000,0.2513,1013,0.922
8951,0.7666,8986,0.7125,123900000,0.3017,4261,2.148,5069,0.8207,52680000,0.3198,804.5,0.9235
7732,0.9868,7336,0.7337,2.25E+09,0.2258,4873,2.17,4038,0.895,17160000,0.3555,1180,0.9437
7721,1.113,11170,0.6478,2561000,0.4453,5313,2.036,4398,0.9957,34450000,0.3362,1123,0.7125
8945,0.7836,9035,0.7105,847700,0.5561,4563,2.524,4362,0.9469,3326000,0.4188,1268,0.8191
8067,0.886,8177,0.8049,1.15E+09,0.2716,4365,2.107,4232,0.8025,387200,0.7211,851.9,0.9718
9149,0.9729,9753,0.8039,6.91E+09,0.2407,5139,2.049,4649,0.9386,284100,0.8397,1237,1.377
9909,0.5859,7063,0.9013,1.52E+09,0.2111,4799,1.587,4496,0.9275,2942000,0.4305,1530,0.7753
6903,0.9236,8010,0.7059,133500000,0.3229,5523,3.035,4523,0.9336,653800,1.945,1249,1.052
7386,0.7787,8085,0.71,9.21E+08,0.2839,4750,1.879,3735,1.042,3508000,0.4885,1064,0.8323
7106,0.9958,9437,0.666,199200000,0.4089,4324,2.183,4247,1.127,522400000,0.2685,1248,0.7996
8313,1.03,11280,0.5655,861500000,0.2235,4332,2.093,4508,1.121,143800000,0.2991,1030,0.8474
11760,0.9015,8013,0.6623,2163000,0.4796,3293,2.218,4202,0.8901,521100000,0.2847,1167,1.003
7777,0.9657,10220,0.6497,34030000,0.3318,4146,2.149,5038,0.8803,521100000,0.2847,1096,0.9661
8632,0.8601,10240,0.6635,6.27E+09,0.2109,4586,2.572,5207,0.8992,47160,1.652,1189,0.7743
7476,0.7759,12370,0.6487,8.18E+09,0.1949,5379,2.696,4082,0.8646,88640,1.434,1136,0.8227
8500,0.8784,13740,0.6393,115700000,0.2978,3929,1.813,4016,1.055,4049000,0.4264,929,0.8223
8788,0.8028,10390,0.8031,772100000,0.2333,4055,2.491,4260,1.038,19600000,0.3647,1002,0.9613
8705,0.6474,8952,0.6755,53980000,0.3356,4892,1.646,4932,0.8063,101300000,0.3019,999.4,0.9366
7229,1.07,9272,0.778,4.66E+09,0.2326,4394,1.648,4814,0.9726,219400000,0.2849,1101,0.901
11000,0.6768,9964,0.7109,8.16E+09,0.1917,4297,2.466,4895,0.7759,17050000,0.3951,932.5,0.7214
7669,0.8745,7961,0.6129,7.45E+09,0.2008,4264,2.139,4298,1,10940000,0.4187,1035,0.8553
9746,0.705,22170,0.4255,511300,0.691,5273,1.897,4918,1.039,54420000,0.2777,1427,0.9329
9560,0.6718,15060,0.4902,5.24E+09,0.2688,5664,2.224,4661,1.13,35910000,0.4636,1068,1.003
8328,1.414,9508,0.6361,66160000,0.3152,4775,1.855,4320,1.086,469600,0.731,1229,1.041
8886,0.6749,14470,0.7931,2.87E+09,0.235,3879,1.715,5242,0.8332,552500,0.6987,1091,0.8915
8256,0.9089,10180,0.6368,63900000,0.3234,5057,2.123,4913,0.9134,4990000,0.4352,1491,0.8826
8718,0.8795,11110,0.6636,203500000,0.2935,4083,1.641,4900,0.7589,5536000,0.4709,1086,0.7912
8193,0.9432,12720,0.5368,1033000,0.5548,4547,1.528,4421,0.8333,4141000,0.4531,1208,0.8724
7312,1.12,8762,0.6964,22760000,0.3121,5280,1.832,4769,0.7923,298800,0.7818,1171,0.7427
8235,0.7749,10740,0.6764,22600000,0.2977,4793,1.921,4317,0.9344,1343000,0.5663,1125,0.8941
10370,0.9031,8489,0.7336,154500000,0.2806,4058,1.918,4326,1.127,809800,0.5074,1113,0.8376
7780,0.8754,8803,0.5382,24340000,0.3635,5726,1.891,4792,0.9903,87340,1.427,972.4,0.9307
7012,1.105,8473,0.7201,92510000,0.2956,5110,2.088,4626,1.096,55600,1.346,1055,0.9419
8986,0.7858,10640,0.6931,1.52E+09,0.2357,4406,1.859,5129,0.973,38170,1.673,1551,0.6836
8758,1.21,12370,0.5681,284700,0.8519,5253,2.044,4502,1.028,79230,1.212,1399,0.7725
9305,1.142,9445,0.6333,4356000,0.4526,4334,2.265,4890,1.056,4.49E+09,0.2758,871.9,0.8725
