ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
6667,1.032,14330,0.5333,82620000,0.2793,4537,2.186,4355,0.9951,250900,0.8692,1340,0.7978
10850,0.6572,10020,0.6432,12690000,0.3299,4610,2.152,4171,0.9683,201700,0.8247,1148,0.7495
6081,0.8946,10850,0.5877,7.69E+09,0.2091,5396,2.259,3860,0.9548,3602000,0.4148,1382,0.9332
7549,0.872,9060,0.8378,536600,0.6568,4503,2.251,5231,0.9195,5356000,0.4899,1128,0.9116
8941,0.8826,8346,0.7245,479600,0.6159,4606,2.181,4861,0.9547,49590000,0.3207,1040,0.8163
8549,0.7598,11120,0.7173,1836000,0.4669,4442,2.328,4946,1.05,2.13E+09,3.153,1182,0.7817
6939,0.8265,8920,0.6672,731800000,0.2154,4616,2.478,4951,0.819,3.92E+09,5.055,1308,0.8489
8443,0.9199,6857,0.873,110200000,0.3153,5152,2.106,4734,0.9789,134700,5.293,1005,0.8988
10370,0.4531,6228,0.8425,6.37E+09,0.2252,4191,2.155,4233,0.9242,207500,6.249,1130,1.033
9661,0.7238,9292,0.8558,7.75E+09,0.1901,3835,1.947,3784,0.8483,216800,6.953,1563,0.7406
9727,0.8177,13480,0.672,9.48E+09,0.2006,3948,1.738,4384,1.075,4.94E+09,8.209,1183,1.163
10680,0.8347,9904,0.6801,251800,0.9042,4623,1.915,4890,0.9415,148400,9.289,907.2,0.7843
7458,0.9567,6613,0.8806,144800,0.987,4785,2.23,4293,0.8553,19350,7.511,1161,0.7873
8881,0.9568,8260,0.837,14540000,0.3674,3733,2.444,4882,0.9165,20240,6.639,1027,1.031
9114,0.7725,8895,0.6387,961500000,0.2647,5895,2.867,4614,0.9555,16200,6.62,916.7,0.9706
7313,0.8355,7763,0.8681,332800000,0.2715,5011,2.161,4355,0.9512,16200,6.62,1063,0.7769
7775,0.8189,7677,0.7592,2.84E+08,0.2379,4605,2.651,4638,0.9179,2.63E+09,6.866,1568,1.319
10560,0.7373,10190,0.6929,94130000,0.3049,5553,2.217,4120,0.9893,16140,5.432,1372,1.238
8839,1.003,11080,0.6865,6.46E+09,0.2131,4121,1.963,4605,0.8694,15890,5.55,843.1,1.064
11210,1.148,9145,0.6745,8.40E+09,0.1842,4989,1.951,4924,0.8256,15890,5.55,1374,1.064
7274,1.008,11980,0.5827,6.95E+09,0.2141,4060,2.026,4285,1.013,21000,5.672,1118,0.9785
6914,0.9304,12700,0.6129,3.57E+09,0.2277,4051,2.006,5243,0.9936,37800,4.677,1530,1.1
7588,0.9763,10060,0.6582,178800000,0.2845,4014,2.081,4246,1.175,4.92E+09,6.497,1127,1.238
9673,0.8536,9992,0.6963,1.01E+09,0.2172,5467,2.044,4986,0.9349,117600,7.884,969.3,0.8982
9712,1.15,9017,0.638,26960000,0.3458,5354,2.449,4336,0.7748,198300,6.431,1128,0.8883
7349,1.288,14070,0.5872,582800000,0.2281,3900,1.943,3855,0.9534,1073000,4.555,927.9,1.038
6447,1.066,13840,0.6417,78910000,0.2759,4616,1.852,4066,0.902,2019000,2.382,1046,0.957
8476,0.9484,10190,0.8172,17050000,0.3738,4890,2.088,3852,0.9464,7.81E+09,0.458,1379,0.7543
5648,0.9216,7943,0.8216,140600000,0.2894,4427,2.364,4545,0.9294,48180,2.163,1350,0.8577
7741,0.9607,7351,0.7874,897200000,0.2726,3843,1.857,4603,0.9094,35450,2.146,1079,0.8023
8733,0.8535,10890,0.6558,497800000,0.2566,4052,2.052,4602,0.8717,39940,1.97,1163,0.9333
8668,0.8759,10150,0.8031,83290000,0.2961,4220,1.916,4509,1.008,68910,1.243,1114,0.8306
8460,0.7715,10570,0.6935,9754000,0.3761,3733,2.248,4237,1.029,12140000,0.4195,1199,0.8005
8535,0.7791,8843,0.6687,162300000,0.273,4670,3.413,4025,1.026,161600,1.569,1151,0.8084
8836,0.8767,10460,0.6254,1673000,0.5303,4899,2.047,4301,0.906,7.85E+09,0.1897,1136,0.8018
11950,0.6825,7511,0.6634,2387000,0.5199,5052,2.001,3977,1.013,2.64E+09,0.2726,988.7,1.043
8635,0.7831,10040,0.6896,9065000,0.4207,4874,1.995,4304,0.9904,7.34E+09,0.3042,1216,0.8869
7236,0.8493,8572,0.7032,8.92E+09,0.2032,5185,2.082,4442,0.8499,4.20E+09,0.2556,1234,1.115
13060,0.7258,14530,0.5304,3.50E+09,0.2512,4243,1.989,4750,1.116,7.77E+09,0.2458,1028,1.086
8786,0.6775,7844,0.7442,2.97E+09,0.2249,4193,2.16,3973,0.9627,9.75E+09,0.2086,1096,0.9641
7983,0.8197,9715,0.612,2.99E+09,0.2424,4357,1.685,4932,0.9594,4.91E+09,0.2472,1038,1.191
