ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
29060000,0.5139,868100000,0.1894,286.8,4.526,61330,0.4113,26.52,7.663,180,0.3691,1.398,0.6545
229.3,8.492,868100000,0.1894,44250,3.925,4583,0.6293,5871000,9.533,73.04,0.4925,1.376,0.6561
13370,1.806,76680000,0.2975,1330000,7.796,5124,0.6085,80290,5.676,16.3,0.8641,1.326,0.6513
53.24,5.07,242500000,8.989,139.5,8.531,31.44,2.817,1424000,0.3515,10.57,1.068,1.505,0.7736
42560,0.5106,75.76,3.547,3.66E+09,5.932,21.06,3.471,1424000,0.3515,16.54,0.8391,1.194,0.6836
42560,0.5106,34.6,5.126,7.56E+08,0.8113,20.02,3.824,1.73E+09,0.1816,14.38,0.9189,1.521,0.5967
42560,0.5106,737.9,0.5921,1.05E+09,5.253,25.34,3.797,317400000,0.1754,14.25,0.9956,1.556,0.6493
42560,0.5106,621.9,0.6538,131000,8.697,395100000,3.083,317400000,0.1754,49.22,0.479,1.37,0.6675
178000,0.4881,3596000,9.274,15990,6.421,9217,6.551,317400000,0.1754,49.61,0.5495,1.404,0.6423
615.7,8.094,1822000,0.3888,25.03,5.173,12.28,5.821,317400000,0.1754,37.22,0.5294,1.412,0.6267
12.5,5.862,184300000,6.666,169100,8.303,12.28,5.821,1.49E+09,0.1543,20.1,0.7693,1.132,0.5961
305600000,8.902,2038000,3.7,1.62E+08,4.288,12.28,5.821,1.49E+09,0.1543,57.94,0.4795,1.447,0.5139
474400,5.01,76.52,2.467,432200000,1.755,11.87,4.767,1.49E+09,0.1543,20.62,0.6283,1.563,0.6392
446300,4.732,1.92E+09,7.049,2094,7.705,11.38,5.161,1.49E+09,0.1543,16.71,0.7448,1.475,0.5987
3.01E+09,7.377,2.11E+09,7.865,1.44E+09,9.902,11.2,5.414,1.49E+09,0.1543,52.41,0.5086,1.581,0.6577
53.51,1.859,21.85,8.742,27220,7.58,12.5,4.963,1.49E+09,0.1543,24.67,0.6588,1.73,0.8284
561200,4.706,166900,6.744,4.09E+09,2.46,12.5,4.963,1.49E+09,0.1543,42.22,0.5509,1.583,0.675
11.72,7.187,8294000,0.4458,24900000,2.526,15.5,4.839,1.49E+09,0.1543,21.02,0.8121,1.497,0.6464
103200000,9.786,1.58E+09,4.376,16290,7.06,15.5,4.839,1.49E+09,0.1543,146.7,0.4323,1.413,0.6095
373.5,2.038,29050000,0.2801,1.07E+08,0.5346,47.19,2.24,125700000,0.1982,3118,0.1958,1.348,0.6857
25610000,1.341,29050000,0.2801,60.73,9.808,27.93,2.221,366300000,0.1866,22240,0.1791,1.472,0.6951
4198000,0.8465,192900000,3.699,316.3,5.931,20120000,0.3433,366300000,0.1866,26910,0.1597,1.389,0.5232
27460000,1.584,22.28,2.258,4001000,3.519,20120000,0.3433,15060,3.473,17820,0.1883,1.376,0.6183
