ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
17620,1.799,6038000,1.918,28540000,3.589,642100,0.7551,7047,1.679,1.74E+09,0.3337,17810,4.1
44740,0.9352,3415000,1.643,3437000,9.112,14430,7.275,8469,1.537,1.74E+09,0.3337,18780,3.601
32900,1.185,3801000,8.735,7.68E+08,9.052,15300,6.765,8886,1.675,4.94E+09,0.3328,20070,3.256
38390,1.045,1.22E+09,5.003,796100000,1.592,15900,5.97,9152,1.383,4.94E+09,0.3328,20390,3.168
37760,1.061,38190000,9.71,1519000,5.139,38520,6.521,9068,1.653,4.94E+09,0.3328,15180,4.671
28930,1.152,52440,6.076,6.94E+09,6.966,16900,5.504,9745,1.313,4.94E+09,0.3328,20850,2.702
33550,1.13,32990000,7.165,81320000,4.728,19350,4.227,10150,1.205,4.94E+09,0.3328,15500,5.127
64500,0.8037,2125000,3.658,335300000,3.316,16220,6.702,8684,1.993,4.94E+09,0.3328,16620,4.998
32940,1.057,280900000,2.773,10160000,8.903,14890,7.594,8447,1.975,3.24E+09,0.3183,15760,6.432
29600,1.206,2.32E+09,7.281,2694000,6.413,14300,8.091,9284,1.333,4.92E+09,0.3091,19780,3.401
47020,0.997,370300,1.113,672000,4.591,14360,8.433,9235,1.31,4.92E+09,0.3091,27780,2.334
30710,1.161,630800000,2.533,4924000,9.467,51950,1.7,9359,1.29,4.92E+09,0.3091,18000,4.038
42770,1.011,1.35E+09,0.3826,3532000,9.162,51950,1.7,10340,1.105,4.92E+09,0.3091,27070,2.172
36120,1.049,1.35E+09,0.3826,7.78E+09,1.837,34870,1.87,9154,1.931,4.92E+09,0.3091,35940,1.878
24480,1.368,4.25E+09,3.363,919800000,3.251,57060,1.435,9494,1.715,4.92E+09,0.3091,21690,3.045
26520,1.343,48470,5.017,2240000,9.525,21940,3.326,9241,1.673,2.02E+09,0.3086,24860,2.637
41370,1.023,3.64E+09,8.755,7642000,5.645,20150,3.489,9051,1.154,2.02E+09,0.3086,21120,3.027
41640,0.9613,43590,4.208,324600,7.551,18880,3.795,8799,1.253,2.02E+09,0.3086,16090,4.758
25010,1.262,1331000,8.851,1063000,4.11,18880,3.795,9155,1.441,2.02E+09,0.3086,12740,8.7
56010,0.8904,32050000,0.5821,186400000,9.286,18880,3.795,8073,1.307,2.02E+09,0.3086,13920,8.45
30760,1.194,17720000,3.757,3.57E+09,8.542,18370,4.533,7747,1.643,2.02E+09,0.3086,62620,1.464
34640,1.112,657300,1.3,30350000,3.719,23150,3.275,9883,1.185,2.02E+09,0.3086,71460,1.252
34750,0.9513,9.29E+09,0.6871,47950000,4.894,25200,3.313,8193,1.372,2.02E+09,0.3086,64520,1.402
45170,0.8793,916400000,1.773,4392000,6.313,16150,4.95,9968,0.9772,194900000,0.4014,22140,2.949
40840,1.105,906400000,8.022,353600,6.85,24660,3.24,8536,1.538,194900000,0.4014,17840,3.971
64100,0.8356,1.37E+09,6.084,4.25E+09,9.566,33760,3.237,8778,1.278,194900000,0.4014,23970,3.024
180900,0.6422,2596000,0.7394,316500,6.107,14540,8.078,9132,1.429,12350000,0.5167,23100,2.69
26380,1.342,1992000,2.688,9.80E+09,5.261,14540,8.078,8165,1.452,12350000,0.5167,19050,3.626
75480,0.7831,96480,6.569,4311000,8.431,14540,8.078,8764,1.386,12350000,0.5167,34300,1.797
40930,0.9877,467600000,9.79,22570000,3.912,14540,8.078,8141,1.545,210500000,0.3967,36550,1.786
46900,0.928,2.61E+09,8.367,2863000,4.627,12860,9.236,8099,1.623,210500000,0.3967,42280,1.496
41870,1.004,85730,9.644,101800000,8.023,12860,9.236,9228,1.325,1431000,0.794,29320,2.155
71440,0.8692,69890,7.257,122700000,4.005,12860,9.236,8248,1.447,1431000,0.794,19880,2.904
32760,1.157,8660000,4.237,10270000,7.818,13460,9.744,7949,1.43,1431000,0.794,21280,3.527
54570,0.9216,129100,8.708,5372000,8.316,13460,9.744,9520,1.226,185600,2.939,19460,3.406
33220,1.165,1.01E+09,2.127,3727000,7.517,13460,9.744,8375,1.401,174400,2.126,16310,4.718
48190,0.8897,190200000,2.242,3.07E+09,7.218,27450,3.18,7592,1.611,980900,0.9627,14200,6.05
94400,0.7012,4.48E+09,9.596,234300000,7.964,19160,3.849,11420,1.129,11760000,0.5874,22910,2.871
21710,1.63,80030,7.899,1958000,8.255,22160,3.18,10240,1.254,817400000,0.3374,32310,1.902
34320,1.048,57320,2.761,2267000,6.848,236700,4.3,8813,1.215,817400000,0.3374,26490,2.271
113800,0.6635,2.06E+08,8.052,19650000,7.116,24140,4.563,8639,1.27,817400000,0.3374,23080,2.655
120600,0.6953,84840000,6.116,791400,8.384,32320,2.396,8282,1.496,817400000,0.3374,27750,2.632
30680,1.075,768400000,2.637,2859000,6.368,302100,0.8654,8549,1.499,348600000,0.3995,18670,3.971
23370,1.409,647000,7.78,187300,6.458,194900000,5.697,9361,1.531,348600000,0.3995,16820,4.609
54370,0.7954,105800,7.969,55710000,3.747,412000,3.568,8119,1.423,348600000,0.3995,19460,3.723
57510,0.7845,447500,8.609,222500000,9.585,86650,1.406,8653,1.649,348600000,0.3995,34530,1.891
32500,1.041,34300000,7.411,2996000,3.677,86650,1.406,10510,1.152,348600000,0.3995,27540,2.394
38090,1.013,6.30E+07,9.168,1137000,7.835,25070,2.622,8403,1.342,26070000,0.4945,17430,4.724
27520,1.299,257900000,8.919,469900000,4.681,33470,2.176,9283,1.318,5693000,0.6797,33030,1.991
60400,0.8132,393800000,7.12,1673000,5.977,65380,1.465,10220,1.29,43080000,0.5091,20980,2.771
87650,0.7171,8985000,6.762,1.58E+09,6.56,54100,1.57,9577,1.675,43080000,0.5091,21390,2.841
35970,1.093,756600000,0.5764,6.83E+09,7.418,54100,1.57,9698,1.428,449400000,0.3932,18360,3.979
53660,0.9477,1.52E+09,1.111,60760000,5.342,15550,5.745,10560,1.119,449400000,0.3932,21340,3.028
57870,0.7907,179100000,6.071,700300,6.827,15550,5.745,7971,1.652,449400000,0.3932,26460,2.386
46820,0.9852,94490000,4.996,16370000,5.278,15550,5.745,8124,1.666,225300000,0.4414,17750,4.152
46220,0.978,1.52E+09,6.007,235700,7.192,15550,5.745,8554,1.785,1.61E+09,0.3113,20620,3.118
32120,1.041,387100,5.544,34420000,5.079,17280,5.461,10380,1.229,830100000,0.3211,28840,2.291
32600,1.203,229600,1.708,825600000,4.462,603100000,7.277,9890,1.272,830100000,0.3211,36810,1.608
27000,1.32,1.77E+09,7.656,2.43E+09,5.752,9442000,4.554,8511,1.097,381900000,0.3779,32250,2.115
51870,0.9415,98540000,2.479,41020000,8.875,24200000,2.178,9310,1.177,381900000,0.3779,13600,7.769
25300,1.367,2.57E+09,9.21,340800,7.575,7883000,1.359,9861,1.129,381900000,0.3779,13790,8.215
29910,1.278,4.68E+09,9.756,1416000,8.778,47310,9.264,9087,1.59,118400000,0.3859,13180,8.845
45070,0.9629,588600000,8.6,211500000,2.392,17920,9.169,7941,1.673,118400000,0.3859,12790,9.166
43500,0.9237,97320,7.62,2.04E+09,3.455,25130,4.467,8567,1.438,118400000,0.3859,13920,7.543
71320,0.7893,1158000,9.446,2.26E+09,3.321,26440,2.877,7628,1.889,160400000,0.4233,14210,6.394
42260,0.9684,227400000,9.694,327300000,7.131,26440,2.877,8753,1.349,160400000,0.4233,24270,2.749
29610,1.152,62170,9.408,187100000,8.599,26440,2.877,8492,1.082,160400000,0.4233,16870,4.046
35380,1.1,467800000,5.326,12410000,3.534,32090,2.445,8295,1.315,160400000,0.4233,14760,5.631
40230,1.04,1427000,0.9716,3174000,9.781,32090,2.445,7830,1.514,160400000,0.4233,15390,5.062
41060,0.9155,30130,4.439,4044000,6.028,32090,2.445,9484,1.41,58650000,0.4873,17970,4.115
33810,0.9701,157200000,1.896,1.34E+09,6.187,32090,2.445,8737,1.456,58650000,0.4873,26110,2.338
38360,0.9577,26920000,3.161,107900000,5.79,26530,2.638,11410,0.9708,58650000,0.4873,15830,5.254
52280,0.85,60210000,0.9984,8593000,5.202,26530,2.638,8475,1.75,58650000,0.4873,14320,5.708
30310,1.079,75380,2.731,1.88E+09,7.406,26530,2.638,8338,1.543,106700000,0.4428,16230,6.161
34870,1.104,48420000,0.5435,3.58E+09,6.547,102100000,4.047,8758,1.531,106100000,0.3776,13930,7.143
32080,1.273,2378000,0.7186,306800000,7.918,39430000,7.058,8708,1.381,106100000,0.3776,14130,6.76
40230,1.084,11030000,0.5891,11430000,9.532,1.65E+09,9.663,8020,1.465,17210000,0.634,18620,3.22
38990,0.969,20180,8.236,1.51E+09,7.968,2.65E+09,9.406,8484,1.51,798200000,0.3071,22040,2.793
37620,0.9575,67810,7.134,37840000,5.497,25100,6.479,8707,1.466,7.19E+09,0.3861,29170,2.221
35830,1.073,478400,8.247,122900,7.915,26320000,4.108,9683,1.38,1.73E+09,0.4762,38660,1.687
103200,0.7377,176000,3.029,625300,8.967,2.03E+08,4.914,8402,1.856,169000,1.335,22830,2.892
119700,0.5936,1163000,4.789,391100000,8.04,778800000,6.683,8103,1.462,81670000,2.037,18190,4.257
21810,1.405,19910,9.325,678700000,3.549,957500000,5.752,9163,1.438,1728000,6.592,22770,2.646
35300,1.134,296100000,6.98,8.65E+09,8.25,28620,2.777,9319,1.433,1.23E+09,9.122,16120,4.303
26950,1.301,7.76E+09,4.607,1.97E+08,2.958,17450,4.901,8997,1.498,55780000,2.774,16980,3.919
40180,0.9785,5.93E+09,1.5,3216000,6.839,18260,4.387,9920,1.369,3.04E+09,4.529,16820,4.261
29040,1.129,8.82E+09,0.4531,337600000,9.338,20950,3.272,8673,1.388,1707000,8.23,17790,4.04
49340,0.861,25050000,5.824,87900000,2.196,20950,3.272,8972,1.468,131900000,1.108,17510,4.124
41970,0.9784,1572000,0.9869,149800,9.131,34050,2.749,7443,1.445,9555000,7.513,22010,2.734
36140,1.248,31510000,3.28,453300000,1.91,38800,2.253,9207,1.331,1.52E+09,2.822,16500,4.14
31640,1.148,9267000,3.824,684900000,4.892,44670,1.936,10580,1.198,488000,0.9599,16770,4.164
47170,0.9297,7921000,2.883,183200000,3.267,179400,1.07,7894,1.606,1195000,0.9569,25480,2.454
34840,1.11,126500000,7.897,635300000,4.454,137300,1.223,9567,1.3,1195000,0.9569,18040,3.802
35660,1.094,169800000,6.347,470900,8.762,13410,9.515,9174,1.219,3263000,0.7012,24030,2.868
24750,1.354,755500,9.642,8.28E+09,8.731,13230,8.553,8378,1.247,3183000,0.8341,30160,2.05
29440,1.234,315000,5.484,2.56E+09,6.531,2263000,0.8586,9253,1.287,4745000,0.7234,32510,1.91
20940,1.483,23020000,9.809,753400000,3.547,129500000,8.64,10140,1.53,5322000,0.6071,33770,1.929
28210,1.304,1093000,5.022,9.98E+08,1.903,55330000,6.429,7174,1.514,5322000,0.6071,36470,1.742
31340,1.275,2.00E+09,9.618,41130000,8.819,317600,0.8626,8577,1.484,5322000,0.6071,47750,1.556
41110,0.9771,19060000,7.415,988900000,9.49,280300,0.8914,8932,1.369,4020000,0.7382,40710,1.608
73180,0.7602,9041000,8.045,181700000,9.866,836200,0.6787,8464,1.021,1146000,0.8493,16650,4.809
54320,0.9295,28400000,6.65,12990000,8.473,509800,0.7752,9534,1.426,64950000,0.5039,23910,2.62
38350,1.082,10600000,1.635,894600000,7.144,1600000,6.622,9751,1.421,79300000,0.3907,15920,4.516
32170,1.296,32030000,0.4553,4.03E+09,7.237,16690,5.932,8593,1.499,35480000,0.461,23300,2.62
28560,1.299,48120,4.111,43180000,5.688,18640,3.917,8400,1.58,4813000,0.6407,27670,2.139
29420,1.247,195200,1.894,710000,8.225,18640,3.917,9388,1.271,226100000,0.371,15550,5.195
33270,1.115,472800,1.078,2.62E+09,9.559,20800,3.436,8796,1.427,226100000,0.371,40920,1.63
43750,0.8888,1556000,0.9502,320500000,9.964,20800,3.436,8516,1.229,226100000,0.371,17210,4.968
25420,1.433,727400,0.9458,1672000,9.432,20800,3.436,10050,1.227,226100000,0.371,27250,2.406
33210,1.139,727400,0.9458,511300000,4.72,19250,4.194,8980,1.378,6.80E+08,0.3244,39740,1.874
57240,0.8957,3102000,0.7522,1812000,6.848,21230,3.69,9291,1.317,6.80E+08,0.3244,34840,1.85
53960,0.8427,673500000,2.168,79380000,2.312,29440,2.742,11100,1.401,6.80E+08,0.3244,24510,2.776
31880,1.026,2.07E+09,0.4036,10630000,3.11,12980,9.242,9352,1.31,6.80E+08,0.3244,15430,5.236
38280,1.049,2.07E+09,0.4036,6243000,7.157,13640,9.069,9043,1.244,6.80E+08,0.3244,18970,3.641
