ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
31430,0.7671,34730,6.143,608700,0.6107,52120,0.916,24550,0.778,63380,2.892,1402,1.267
27480,0.8353,60290,3.136,320800,0.7782,46570,1.401,21640,1.109,46950,4.915,1825,1.084
19010,0.8637,210200,1.476,473900,0.7131,40540,2.113,18960,1.068,69160,5.988,1467,0.9267
22670,0.8274,169300,1.592,1005000,0.5621,31410,2.958,19910,0.9559,439700,6.199,1364,1.15
22340,0.8479,138500,2.175,340700,0.7889,23030,3.769,18880,1.237,378900,2.501,1037,1.003
24370,0.7331,240300,1.45,169800,0.9689,23350,9.613,18040,1.136,61500,4.627,1251,0.8659
21620,0.7344,52270,3.826,555100,0.6585,21790,9.737,18680,1.163,2703000,1.406,1284,1.014
20010,0.8844,45600,3.99,1218000,0.5452,23730,8.124,19380,0.9724,265500,5.888,1548,0.7781
24050,0.8215,49670,4.219,208900,0.9199,32980,2.588,17360,1.065,107600,2.764,1613,0.9566
21310,0.6483,654400,0.9728,279200,0.8501,32920,2.069,19370,1.264,145200,2.165,1430,1.174
20880,0.7798,654400,0.9728,1028000,0.5364,24040,6.835,16140,1.074,193600,1.899,1059,0.7861
28330,0.6216,505000,1.024,409400,0.6953,23080,7.561,18060,1.086,451100,1.093,1520,0.8698
19840,0.9463,919800,0.9541,444800,0.7456,47820,1.723,15710,1.188,100100,2.842,1325,0.9584
19890,0.9109,1459000,0.8733,155800,1.034,62760,1.013,21750,1.086,45020000,0.5136,1523,1.085
24830,0.7292,2222000,0.743,1987000,0.5427,59950,0.9521,19450,1.078,4.66E+09,8.748,1485,0.9213
25410,0.7873,2222000,0.743,194300,0.844,88880,0.8715,19000,1.148,408200,1.261,1832,1.184
15120,0.8694,2222000,0.743,419200,0.7446,30720,1.998,18570,1.051,6021000,5.297,1182,0.8278
24480,0.7252,1354000,0.8212,1970000,0.5002,36170,1.644,19640,1.009,176000,4.116,1934,0.901
27290,0.8293,1577000,0.817,717800,0.5882,54360,1.15,18260,1.1,268900,3.845,1045,0.8365
22290,0.7152,1752000,0.9168,599900,0.7021,65670,0.8858,17760,1.282,689800,3.468,1651,0.994
21670,0.6094,1752000,0.9168,3788000,0.4605,33860,1.408,20340,0.9784,87880000,7.448,1032,0.7766
29220,0.6462,2075000,0.7718,2402000,0.5166,38300,1.071,17990,1.307,2.52E+09,9.12,1617,1.194
16080,0.8226,2075000,0.7718,1193000,0.5568,26950,3.052,24050,0.9566,7.12E+09,3.174,1417,0.8061
24900,0.6202,2075000,0.7718,1070000,0.5952,41800,1.57,21230,1.025,42430000,0.6576,1498,0.9248
28540,0.6093,2075000,0.7718,137000,1.108,67630,0.9073,20990,1.022,1.07E+09,7.752,1607,1.046
22780,0.742,36790,6.257,664200,0.586,32160,2.21,21530,0.9063,92410000,8.267,1554,0.8401
18700,0.774,34750,6.528,456300,0.7089,24080,6.402,20430,1.157,1999000,3.38,1566,0.8796
14040,0.8624,36490,6.207,541100,0.6371,25940,5.96,18400,1.048,11380000,1.9,1434,0.9937
19560,0.8574,127300,2.066,1103000,0.5347,24030,6.279,18150,1.175,369400,8.835,1314,0.8132
31220,0.65,186500,1.531,5873000,0.4072,23930,6.947,16800,1.099,1.34E+08,4.75,1455,1.11
27930,0.6882,125100,2.038,4499000,0.4293,24560,6.514,17050,0.8596,8.45E+09,3.66,1541,1.065
20360,0.8712,74600,3.028,1475000,0.5204,47040,1.261,17620,0.9926,545400000,1.717,1694,1.225
19670,0.8372,153900,1.639,925100,0.5666,45320,1.535,17810,0.9772,60080000,0.5071,1371,0.966
22820,0.8445,129200,1.858,414600,0.7532,25670,1.834,17970,0.8556,60080000,0.5071,2351,0.9412
25290,0.7111,76860,2.764,1541000,0.505,106200,1.064,14930,1.243,6391000,9.071,1553,1.154
19930,0.8243,127000,1.814,972300,0.5998,68950,1.419,17850,1.167,456100000,0.5032,1534,0.9532
20400,0.8414,285000,1.266,453200,0.7023,80080,0.7582,20210,1.083,88670000,3.913,1193,1.088
62990,0.542,285000,1.266,257400,0.8957,72320,0.8792,18360,1.065,234100,9.668,1470,1.276
23860,0.8769,152800,1.632,1206000,0.5798,51360,1.277,23400,0.8195,137700000,3.629,1280,1.216
20810,0.8076,87500,2.27,1671000,0.5543,59220,1.463,18600,1.114,197600,9.012,1418,1.104
18910,0.8522,37930,5.365,415100,0.645,52870,1.183,19950,1.178,213300000,6.281,1588,0.9261
25830,0.801,73640,4.025,624000,0.6155,67530,1.265,20550,0.9595,281700000,8.374,1837,1.205
32250,0.5652,121800,1.987,348500,0.8635,37280,1.708,16110,1.19,2.59E+09,7.494,2631,0.8603
18550,0.8157,111200,2.02,564700,0.6823,26470,4.883,18770,1.015,496100,4.901,1687,1.072
19310,0.7542,63190,3.185,1140000,0.5429,25780,4.277,17420,1.2,494900,1.829,1284,0.8281
22640,0.8481,116800,2.084,896200,0.5691,25280,5.004,19040,1.481,12660000,0.6419,1577,1.194
23470,0.7065,79190,2.647,2288000,0.511,66600,0.8926,18290,1.173,623700,4.761,1726,0.8167
27370,0.8636,51620,3.56,708400,0.6052,66600,0.8926,22500,0.9851,189800000,9.911,1889,1.043
20040,0.8709,34660,6.4,346300,0.7087,41680,1.98,18060,1.126,2.23E+09,0.3622,1345,1.268
23160,0.8022,34660,6.4,1735000,0.5023,36050,2.582,21450,1.107,1.59E+09,6.555,1913,0.9404
17850,0.8866,38370,5.326,1084000,0.5849,41840,1.337,18040,0.9647,39510,6.244,1088,0.6834
19130,0.8506,35820,6.048,559800,0.7037,40000,1.459,20170,0.8869,39510,6.244,1799,0.887
21040,0.8872,36480,5.484,249000,0.8289,42120,1.142,17950,1.104,881100,1.763,974.6,1.248
27520,0.698,33460,6.411,357800,0.679,67170,0.8962,20370,1.148,2.30E+09,8.912,1362,0.9261
30660,0.7157,35830,6.013,582600,0.654,192400,0.6167,18910,1.078,725800000,7.216,1026,1.062
