ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
47970,0.6301,1.27E+09,2.173,4678,1.324,15950,1.135,8589,1.527,3489,1.429,363.8,1.109
97820,0.5081,10070,5.441,4241,1.661,11330,1.553,9542,1.291,3676,1.118,321.9,1.082
53220,0.7273,72420000,0.5481,4638,1.557,13290,1.256,9700,1.268,3263,1.532,431.6,1.732
21330,0.9093,87010000,3.551,4651,1.486,13630,1.365,8598,1.404,3405,1.47,285,0.9947
31140,0.7672,2.73E+09,4.046,4772,1.366,11830,1.434,7960,1.521,3393,1.275,422.6,1.397
37480,0.641,2.23E+09,1.763,4333,1.445,10690,1.651,10630,1.132,3387,1.261,265.3,1.035
81190,0.4829,297600000,8.252,4167,1.539,9903,1.905,11870,1.111,3301,1.467,305.1,0.8468
85100,0.4932,1948000,6.141,5234,1.274,12560,1.503,8143,1.333,3466,1.35,488.5,1.285
68910,0.55,344100000,0.4761,4943,1.164,13520,1.472,9496,1.328,3866,1.137,367.1,1.137
53320,0.6096,230100,8.654,5497,1.236,12130,1.594,9870,1.191,3159,1.281,391.2,1.485
53480,0.6126,342300000,8.156,5041,1.343,9658,1.74,8709,1.418,3326,1.279,284.6,0.9344
61750,0.5431,160100,5.355,5021,1.179,18730,1.051,9555,1.258,3904,1.51,332.8,1.334
50720,0.566,281600000,2.549,5312,1.045,8909,2.127,8958,1.448,3392,1.226,374.8,1.178
66430,0.5408,20800000,1.16,4675,1.755,12700,1.55,8394,1.453,3480,1.47,379.3,1.002
62250,0.5383,1231000,2.306,5116,1.706,14120,1.244,9857,1.366,3732,1.098,340.8,1.373
137700,0.4434,11430,4.313,4550,1.536,10070,1.908,8843,1.456,3144,1.177,384.6,1.197
47350,0.6006,385700,5.538,4548,1.238,13000,1.658,9211,1.306,3593,1.667,287.6,1.018
43800,0.6087,947300000,5.547,4673,1.235,23580,1.041,8376,1.475,3265,1.5,410.2,1.063
39380,0.6548,3.63E+09,5.043,5279,1.499,11170,1.743,9224,1.362,3524,1.457,353.6,1.089
67600,0.5312,13080000,8.416,5242,1.354,12760,1.465,7876,1.671,3344,1.253,314.6,0.8644
24430,0.7671,315300,8.815,5364,1.39,14770,1.392,9264,1.479,3781,1.105,410.6,1.038
38640,0.6802,456500,9.346,4400,2.039,14010,1.339,8902,1.408,3537,1.409,377.1,1.132
66610,0.5339,216700000,9.864,4295,2.441,15110,1.353,10410,1.146,4001,1.209,312.9,0.9645
53490,0.5726,2967000,4.351,5012,2.111,9179,2.187,10070,1.261,3753,1.521,298.8,0.7565
75540,0.5098,278300,0.8271,4229,2.71,9881,1.876,9657,1.213,3725,1.494,300.3,0.9224
43730,0.6312,989100,1.196,4620,1.557,12670,1.547,9548,1.309,3221,1.441,291.4,0.9627
57810,0.587,1852000,0.6292,5645,1.093,13560,1.409,9058,1.483,3546,1.205,392.7,1.37
41360,0.6435,575800000,8.209,6205,0.9685,13480,1.361,9276,1.496,3598,1.451,325.5,1.047
42030,0.6274,7657000,1.101,5585,1.053,12790,1.564,9605,1.523,3690,2.005,395.8,1.512
52200,0.6241,2.58E+09,0.5005,4888,1.256,9546,1.697,11620,1.18,3351,1.458,459.7,1.034
77650,0.5392,1525000,0.4692,4570,1.341,15200,1.286,10150,1.325,3521,1.255,355.1,1.158
46490,0.636,3304000,7.867,4864,1.914,8926,2.527,8739,1.471,3428,1.287,375.7,1.18
62040,0.5544,10760000,3.254,4706,1.472,9487,2.382,10490,1.231,3592,1.235,300.7,0.9052
58820,0.5544,7234000,3.616,4646,1.094,9207,2.159,10350,1.192,3549,1.302,434,0.9765
52950,0.6169,63710,7.388,4969,1.754,26900,0.8661,8053,1.618,3469,1.377,415,1.24
66980,0.5335,107600,8.962,6650,0.974,19490,1.112,9615,1.365,3737,1.144,274.2,0.7816
58560,0.5739,1739000,7.676,6343,1.07,22250,0.9302,9361,1.424,3274,1.257,324.3,1.139
74190,0.5275,143700,9.096,5614,0.9138,10490,1.665,8373,1.498,3482,1.483,385.6,1.141
67220,0.5409,210700,0.8056,5706,1.126,12100,1.545,9337,1.311,3694,1.194,322.4,1.099
44220,0.6064,29080,1.748,5255,1.216,18300,1.117,9940,1.379,3384,1.258,316.3,0.85
70840,0.5233,72160,1.282,4755,1.595,13870,1.258,8759,1.483,3422,1.296,384,1.073
62840,0.5447,20590,2.433,6002,1.252,14810,1.36,10130,1.215,3119,1.264,278.4,1.133
107900,0.4873,2206000,0.5043,6034,1.011,20620,1.059,9943,1.217,3581,1.351,295.1,1.135
77950,0.5281,109000,1.191,5730,1.111,11740,1.663,10300,1.246,3443,1.381,393.9,0.9982
49780,0.5962,7440000,8.15,4287,1.373,18000,1.128,9196,1.23,3642,1.276,466.7,1.053
41630,0.6394,3.51E+09,9.492,4651,1.651,9826,1.939,9818,1.275,3513,1.316,360.7,1.305
196400,0.4033,273800000,4.761,4506,1.256,12720,1.55,11200,1.061,3545,1.151,313,0.7752
50120,0.5864,13390,3.581,5539,1.195,12140,1.573,8654,1.374,3347,1.301,339.1,0.995
51140,0.6026,63900,1.239,4716,1.258,10980,1.62,9462,1.284,3903,1.258,325.8,0.7308
27040,0.7423,1276000,0.6528,4791,1.441,11050,1.871,10970,1.127,3192,1.385,324.8,1.002
47360,0.6167,21190,2.732,5497,1.21,14190,1.397,9572,1.305,3572,1.17,313.2,0.8692
43310,0.6584,1.19E+09,6.116,4737,1.455,13390,1.462,7686,1.679,3442,1.299,341.4,1.038
52460,0.5898,494900000,1.288,5290,1.248,20210,1.035,10020,1.308,3428,1.589,404.7,1.138
57300,0.5882,116100000,0.4358,4899,1.391,17730,1.226,11210,1.15,3716,1.125,379.5,1.107
46020,0.6344,975100000,1.977,5360,1.18,12690,1.449,10760,1.148,3533,1.218,311.7,1.04
79120,0.5225,145800000,1.98,4517,1.342,13740,1.303,10530,1.228,3484,1.086,326.1,0.8928
39600,0.6233,3739000,0.7935,4957,1.401,10450,1.58,8505,1.408,3575,1.229,332.8,0.9155
53570,0.5778,17530000,7.256,4866,1.401,15140,1.272,9568,1.261,3369,1.314,348.3,1.122
33050,0.6916,37450,1.462,5555,1.218,12380,1.573,13510,1.021,3503,1.33,406.5,0.9653
41260,0.6618,34450,1.53,4384,2.466,16970,1.19,14330,0.9415,3652,1.304,269.7,0.8106
40140,0.6507,34450,1.53,5232,1.329,11910,1.479,9340,1.342,3502,1.236,331.2,0.882
55770,0.5546,20480,2.271,4723,1.352,10530,1.614,10310,1.194,3578,1.255,296.4,0.9513
54780,0.5365,20480,2.271,5362,1.367,12180,1.576,11050,1.204,3366,1.99,459.5,1.199
79140,0.5348,162400000,0.579,5276,1.207,8986,2.163,8370,1.642,3080,1.529,298.4,0.8538
46550,0.6224,40500000,1.293,5637,1.346,10760,1.466,8529,1.393,3586,1.415,265.1,0.7583
61570,0.5639,633000,1.56,6211,1.101,15350,1.172,8521,1.528,3523,1.27,305.8,0.697
68480,0.5266,15190000,0.3134,4289,1.252,12400,1.568,9045,1.36,3864,1.103,385.2,1.162
70320,0.5265,1.79E+08,1.466,5278,1.237,13310,1.381,7580,1.668,3386,1.197,340.9,1.145
37880,0.651,24070,8.807,4848,1.718,12080,1.499,11720,1.099,3244,1.372,413.6,1.464
45020,0.6523,512100,2.404,4601,1.357,12240,1.401,10490,1.199,3516,1.586,416.1,0.859
90560,0.4641,5154000,4.679,4778,1.598,11840,1.581,10010,1.379,3413,1.47,303.4,0.8794
56850,0.5471,131000,7.573,4279,1.491,14650,1.278,8078,1.462,3347,1.425,424.5,1.213
150800,0.4329,825100,8.857,4622,1.669,9251,2.22,8456,1.322,3524,1.276,267.9,0.9406
60300,0.5554,19990000,8.861,4499,1.71,12330,1.373,8724,1.511,4059,1.271,334.4,1.044
