ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
265300,1.447,178600,9.496,41740,6.847,43420,2.415,7905,0.9957,638900,0.5338,5983,0.7648
59420000,3.238,1.46E+09,7.108,45820,5.765,116100,1.172,6671,0.8347,437800,0.5787,6609,0.9826
5136000,7.697,7411000,1.14,47870,5.499,138800,1,6700,1.357,207900,0.8432,7102,0.7497
77450000,9.994,1049000,8.533,47870,5.499,39640,2.933,6200,1.075,484100,0.574,6334,0.7764
273900,7.097,4758000,5.543,65580,3.26,39640,2.77,8867,0.953,257100,0.7966,6747,0.8506
440400,1.351,3858000,3.818,979200000,0.3579,35670,3.222,7372,1.007,769700,0.4977,8236,0.9082
159400,5.284,145400,2.192,384500000,0.4277,29750,5.919,7902,0.8134,1269000,0.435,5586,0.865
114700,6.974,255100,2.346,432300000,0.3981,36930,3.348,8371,0.8853,406500,0.6865,7104,0.9226
51420000,1.264,87120000,0.891,432300000,0.3981,45340,2.232,7764,0.9698,1950000,0.4082,4756,0.8189
599300000,0.4384,14620000,1.724,67870000,0.4724,65770,1.498,8510,1.086,324400,0.6338,5666,0.9308
599300000,0.4384,7.13E+09,7.076,67870000,0.4724,88600,1.298,9019,0.702,315400,0.6181,5048,0.9622
65490000,0.5847,2331000,6.396,272800000,0.4062,108200,1.211,6930,0.9765,1275000,0.4314,7371,0.7618
376300000,0.5279,5.13E+09,7.62,140700000,0.5008,95570,1.149,8078,0.9355,243900,0.7703,6796,0.8936
190400000,8.412,126500,4.392,1220000,0.8421,50130,2.228,9140,0.9497,388500,0.5662,6660,0.9707
92220000,4.261,1.01E+09,7.102,2194000,0.7585,47950,2.45,9743,1.032,4994000,0.3138,6851,0.8004
54890,4.681,101800,5.024,1858000,0.8351,44120,1.993,7742,1.014,3099000,0.3873,5491,1.025
66440,3.241,315100000,9.844,1858000,0.8351,37610,2.865,8100,0.923,1557000,0.3929,7860,0.7849
47760000,5.273,4432000,4.941,4408000,0.7763,94440,1.253,9414,0.8668,887500,0.5534,5852,0.7723
1.50E+09,0.744,412200000,0.9971,16980000,0.6173,66480,1.462,7948,0.8065,284500,0.7703,6087,0.9035
2265000,6.909,2.52E+08,9.051,8515000,0.7202,74840,1.257,6749,0.8865,327800,0.6705,6146,0.8835
109600,2.587,1842000,5.325,518000,1.193,87110,1.116,7385,0.9893,433600,0.6114,6111,0.7466
139900,2.175,23890000,1.208,200600,1.819,94590,1.116,7365,0.9467,385200,0.5969,7145,0.7661
139900,2.175,3734000,1.297,200400,1.97,82930,1.436,6836,1.311,271900,0.6665,6595,1.016
128500,2.302,80490,6.501,1.07E+09,0.3534,69430,1.615,7629,0.9272,420000,0.6022,6305,0.8094
128500,2.302,562100000,3.857,782900,9.304,61590,1.557,8631,0.7237,392600,0.6013,4730,0.8494
135400,4.335,352500000,4.057,137300,9.517,38960,2.794,7589,0.9957,288500,0.6913,6885,0.898
104300000,2.629,97350,5.28,39220,9.493,45930,2.112,6803,1.07,476000,0.6109,6581,0.8171
793700000,1.103,3.25E+09,9.351,1214000,8.779,51890,1.698,8627,0.7124,255900,0.7329,7455,0.9884
206600,1.578,3.93E+09,9.524,48470000,9.909,43090,2.181,7672,0.8782,391800,0.633,6647,0.8146
319500,1.405,9.45E+09,2.224,1.27E+09,7.342,43450,2.334,6307,1.039,603000,0.566,7039,0.8544
51270,4.554,1340000,2.426,9079000,8.184,37020,3.131,7916,1.14,550500,0.5598,8505,0.687
55510,4.277,1.17E+08,6.74,668400,5.933,61210,1.504,7187,1.115,793900,0.5005,6301,0.8828
55510,4.277,502000,8.602,74510,5.902,30700,5.881,6284,0.763,351200,0.6468,7055,0.7609
55510,4.277,8632000,4.052,18510000,4.151,30700,5.881,6943,0.9834,406400,0.6427,7619,0.7742
45080,6.623,7.11E+09,2.513,6139000,8.733,55180,1.742,8081,1.079,466100,0.5881,7048,0.8337
45080,6.623,15460000,1.851,3891000,7.132,125000,0.8949,6663,0.9724,619800,0.5632,7347,0.8373
220800,6.399,492200000,0.3783,103400,7.445,54420,2.009,7335,0.9954,339500,0.6362,4328,0.8154
56520,5.077,585300,6.937,3.96E+09,5.705,58590,1.674,5816,1.003,535700,0.5477,5312,0.7086
39710,6.315,368800000,9.687,3178000,5.701,53200,1.392,7941,0.8788,717000,0.5037,7355,0.7171
89120,4.073,43750000,6.915,55560000,0.5522,82570,1.156,7296,0.9655,373000,0.6597,7327,0.7617
129500,2.745,928100000,2.283,117800000,0.4626,68810,1.462,8344,0.8109,214100,0.7558,5405,0.7169
138800,2.17,4.78E+09,0.8714,22090000,0.5582,54560,1.63,8303,0.8455,628000,0.5434,5918,0.9394
138800,2.17,1.33E+09,9.707,22090000,0.5582,44030,2.402,7673,0.8216,423200,0.7334,6444,0.8635
138800,2.17,33310000,3.115,22960000,0.5252,35150,3.008,7644,0.92,526400,0.5316,7455,0.789
744800,0.9533,7.07E+09,3.915,1677000,0.9042,56950,1.898,7198,0.9638,204700,0.7794,6290,0.826
1105000,1.28,3312000,3.672,286900,1.345,77190,1.308,8360,0.9755,440900,0.6515,6747,0.9392
726900000,2.372,78220000,0.9155,76740,3.073,68930,1.383,7884,0.9556,202300,0.8187,8486,0.6836
2967000,0.7238,117300,9.957,48450,5.456,35670,4.047,6420,0.875,532700,0.5728,6423,0.9762
15760000,0.5581,106800,9.521,42280000,0.5921,47660,2.24,7814,0.9123,439100,0.5362,7637,0.826
7913000,5.345,381500,9.838,20290000,0.5614,36720,2.77,7612,0.9652,522900,0.5732,6279,0.8711
463100000,2.828,1.59E+09,7.748,20290000,0.5614,51160,1.728,7467,1.059,747100,0.547,5764,0.7294
4415000,5.463,259800,3.428,20290000,0.5614,59850,1.507,9561,1.095,453700,0.5876,6155,0.7424
1160000,3.954,1013000,9.94,20290000,0.5614,68420,1.412,7039,0.9126,625000,0.5412,7230,0.9705
1.68E+09,3.954,2.86E+09,1.485,20290000,0.5614,62140,1.522,6510,1.1,855800,0.5219,6577,1.163
232200000,8.391,227200,6.374,77570000,0.4754,54350,1.679,7283,1.128,2147000,0.3551,5669,1.076
54360000,9.258,3.87E+09,9.823,36380000,0.5305,77850,1.487,8204,0.8623,279000,0.7112,4776,0.9208
18370000,8.834,300600000,9.777,901800000,0.3754,80880,1.381,8665,0.7375,384000,0.6101,5851,0.9512
1752000,6.862,255600,4.319,901800000,0.3754,40130,3.079,8045,1.139,690200,0.4806,6760,0.7435
1.58E+09,7.252,2.80E+09,4.39,901800000,0.3754,33390,3.682,8850,0.9425,447000,0.5966,7502,0.8222
50470,7.967,328800000,6.434,901800000,0.3754,64940,1.558,9922,0.7858,266000,0.7777,5905,0.8837
124700000,2.288,7.79E+09,7.319,901800000,0.3754,64940,1.558,7731,0.9097,392600,0.6249,8026,0.7338
334500000,7.089,26600000,3.271,3995000,0.8071,37970,3.397,7088,1.039,541700,0.5675,5819,0.9819
4376000,9.661,4.44E+09,4.074,4581000,1.002,55930,1.915,9227,1.17,375200,0.6953,7783,0.8266
677300000,5.158,7.52E+09,4.749,57420,4.979,82300,1.424,7752,0.9161,245400,0.8384,6962,0.9122
6.18E+09,1.342,6.77E+09,7.342,842900,1.183,38750,3.369,7945,1.053,1322000,0.3815,9290,0.7399
2.73E+09,1.306,4223000,1.929,2381000,0.8123,37380,3.279,8894,0.7376,587500,0.5774,6205,0.8208
1.42E+09,3.773,954400,9.212,4443000,0.7173,64090,1.613,11880,0.8369,338700,0.5976,8326,0.6792
2226000,0.948,117300000,9.734,46520000,0.4755,56520,1.636,7600,0.8931,793300,0.435,6073,0.7761
148300,1.978,177100000,4.238,7926000,0.6977,32730,4.752,8699,0.9453,865300,0.4419,5890,0.9131
148300,1.978,731500,3.177,137900000,0.5851,33100,4.857,4929,1.01,291900,0.7993,6626,0.9915
426800,1.203,469000,9.844,362400,1.398,112800,1.035,8834,1.046,2152000,0.4091,5412,1.019
158800,1.93,1.54E+09,6.748,254300,1.596,88340,1.151,6554,0.9486,793700,0.4888,5601,0.8337
120800,2.119,1.78E+09,5.649,379000,1.387,53670,1.445,6588,1.205,548600,0.5379,7155,0.8867
220600,1.644,7838000,9.07,306600,1.454,41670,2.89,7332,1.097,371700,0.6095,7345,0.6822
4.13E+09,0.5378,16580000,9.143,4843000,0.7887,35470,3.735,8839,1.061,348300,0.6358,6499,0.8339
33410000,9.504,1698000,1.722,7945000,0.6405,29570,6.317,8963,1.043,555100,0.5556,5487,1.003
107200000,7.786,1096000,7.73,5639000,0.6241,33130,3.916,8688,0.9994,704700,0.4989,5910,0.6553
10020000,5.46,66560,7.041,143000,1.868,45710,2.192,7556,0.9937,697500,0.529,6094,0.7847
48360,7.173,5.20E+09,7.535,478700,1.446,65540,1.466,7718,1.003,671700,0.5329,8014,0.7475
1012000,1.437,711600,3.06,4748000,0.6587,51060,2.229,7795,0.8401,288100,0.6637,8808,0.7398
1.97E+09,1.951,17010000,0.7474,484100,1.245,49110,2.146,7234,0.7266,174500,0.9077,7684,0.8719
120900,2.881,56090000,0.6095,150200,2.16,40930,2.734,7327,0.9065,334300,0.6573,6453,1.011
1322000,1.536,52500000,4.66,140300,2.102,82960,1.321,7157,0.907,235200,0.7569,6767,0.7915
147900,1.833,638300,4.958,109600,2.307,83350,1.361,8940,1.006,288700,0.6455,5243,0.7865
451800,2.667,91670,6.988,950300,1.076,33150,4.471,8891,1.065,285800,0.8065,5834,0.7847
313700,4.928,17970000,4.317,12740000,0.6715,35160,3.622,8634,1.035,245000,0.8704,6687,0.9388
1.46E+09,2.926,259500,2.319,19310000,0.6657,107500,1.208,8444,0.9879,286300,0.7946,5864,0.7943
85680,4.203,819400,1.204,6068000,0.6569,87990,1.1,8175,0.998,463500,0.5964,5963,0.8733
1.24E+09,5.362,4.01E+09,1.755,56250000,0.466,36290,3.456,8355,1.162,368400,0.6721,6668,0.9008
2.75E+09,9.331,28530000,3.438,22770000,0.5279,71460,1.44,7941,0.8677,415900,0.5959,6079,0.8688
1.05E+09,6.965,1.47E+09,1.958,22770000,0.5279,31790,4.83,6011,0.8468,292800,0.6869,7782,0.8395
44580,9.019,702400000,4.567,13480000,0.6652,31690,3.926,7163,1,158100,1.006,5987,0.8803
72900,7.168,383800000,8.733,9438000,0.7193,253300,0.6856,8312,0.8991,257700,0.8127,7458,0.8921
1.18E+09,6.281,3458000,9.947,9438000,0.7193,31720,4.785,9869,0.774,569900,0.5233,7754,0.9979
403300,1.524,83350,4.85,42280000,0.484,34520,4.235,8349,0.9308,350200,0.696,5679,0.8747
757500,1.12,2641000,1.457,42280000,0.484,50500,1.63,8661,1.386,1009000,0.4461,6945,0.7972
83900,2.618,101500000,9.815,1.20E+07,0.5546,38840,2.857,8409,1.002,554300,0.5863,6341,0.8443
115800,3.783,4.21E+09,0.2832,991600,0.9549,34350,3.755,8369,1.012,399900,0.6142,6678,0.8963
109400000,1.595,3996000,0.9336,473800,1.202,70680,1.475,8961,0.8028,362700,0.6835,6880,0.6925
5.03E+09,5.328,1.08E+08,1.525,386400,1.231,46200,1.935,8215,1.041,618800,0.4919,6004,1.006
141800000,2.189,4.25E+09,9.628,138500,2.086,67660,1.641,8647,1.014,310200,0.6613,6394,1.01
47000,7.648,53380000,1.672,319200,1.501,32260,3.742,9563,0.7463,399700,0.595,6774,0.8733
2072000,3.892,1190000,3.492,684000,0.9325,51520,2.696,8057,0.9435,832100,0.4826,5250,0.7989
60560,7.966,136200000,6.856,2057000,0.7936,39280,3.496,8835,0.9627,423800,0.6323,6143,0.6897
72730,8.036,29890000,4.607,4193000,0.6979,32150,5.226,8246,1.078,292800,0.6951,7052,0.8055
5083000,8.974,2973000,1.28,3574000,0.7522,30550,5.032,8193,0.7564,489300,0.6406,6646,0.8977
10170000,7.059,890400,8.069,11600000,0.6335,27670,7.281,7625,0.8969,441000,0.6146,6370,0.7109
25050000,9.552,3.06E+09,8.877,3554000,0.8897,30220,5.891,7398,0.9167,430300,0.6165,6142,0.9361
15080000,3.92,41920000,2.912,5010000,0.7136,52350,1.802,6851,0.8438,519700,0.5448,7965,0.8498
14020000,5.698,51720,7.899,4.25E+09,0.3305,52350,1.802,8803,0.7656,783400,0.4987,8313,0.7314
242300,2.077,199100000,2.483,4.25E+09,0.3305,57350,1.867,7886,0.9572,1161000,0.4407,5601,1.037
10530000,3.68,16830000,2.716,4.25E+09,0.3305,86410,1.185,6747,0.9894,457200,0.5939,6468,0.8161
9.44E+09,0.9818,3699000,2.744,773200000,0.3648,79270,1.143,7652,1.212,399600,0.6863,6060,0.9295
69240,3.677,7534000,7.467,773200000,0.3648,32540,4.828,8785,0.8731,649700,0.5257,5326,0.8711
15180000,8.878,6.16E+09,9.495,773200000,0.3648,29270,6.436,9522,0.9991,387400,0.6465,7046,0.8164
409600000,7.478,6.16E+09,9.495,773200000,0.3648,31310,6.058,8269,0.8562,199300,0.8985,6249,0.7867
4.81E+08,8.035,719200,9.045,773200000,0.3648,29780,5.56,8167,0.8594,596400,0.502,7317,0.9664
