ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
12540000,0.6677,3180000,1.386,3470000,1.611,9.17E+08,0.5286,5049000,2.515,606300000,0.4049,110200,1.17
11850000,0.7488,2675000,1.184,3886000,1.032,9.17E+08,0.5286,4294000,2.904,247800000,0.427,94930,1.064
11780000,0.6747,2883000,1.308,4234000,1.23,9.17E+08,0.5286,2921000,6.46,41180000,0.6315,80110,0.93
7506000,0.8574,3412000,0.9657,5088000,0.9498,9.17E+08,0.5286,3247000,5.206,20160000,0.9043,85790,1.06
5564000,1.062,3501000,1.101,4583000,1.286,27490000,1.464,2791000,7.293,348200000,0.4105,101100,1.072
4276000,1.291,2815000,1.35,3818000,1.531,25760000,1.212,3180000,5.034,94830000,0.5494,110700,0.9305
6187000,0.9552,3584000,1.034,7881000,0.7757,28520000,1.315,3347000,4.324,126300000,0.5404,89710,1.04
6652000,0.8548,3439000,1.049,4859000,1.191,100700000,0.8285,3403000,4.43,2.62E+09,0.3424,86070,1.502
5464000,1.015,2897000,1.304,4787000,1.065,30400000,1.275,3233000,4.696,139200000,0.5112,93970,1.588
6335000,0.9579,3100000,1.024,4405000,1.241,30400000,1.275,3575000,3.895,45350000,0.6392,68960,0.9179
12520000,0.6368,3050000,1.277,4544000,1.046,30400000,1.275,3705000,3.579,40870000,0.5841,61960,1.234
8587000,0.8202,2828000,1.908,4451000,1.146,23080000,1.335,3968000,3.311,57630000,0.6242,133100,1.532
11500000,0.6637,2966000,1.226,3892000,1.322,43810000,1.141,3320000,4.629,57390000,0.5606,83730,1.14
5227000,1.094,2753000,1.514,3059000,1.543,104100000,0.8058,2851000,6.881,21830000,0.8514,64010,0.8009
4909000,1.094,2630000,1.489,4663000,1.117,104100000,0.8058,3034000,5.981,12740000,0.9353,76920,1.006
5910000,0.8923,3477000,1.066,3060000,1.561,80940000,0.8431,2867000,6.811,15500000,1.206,118300,1.127
6728000,0.8591,3403000,1.089,4166000,1.219,1.09E+09,0.5365,3032000,5.925,9013000,1.248,116500,0.9905
6210000,1.054,3156000,1.23,10710000,0.6092,2.88E+09,0.44,3670000,3.778,14710000,1.128,86260,1.341
5578000,1.064,3443000,1.208,7731000,0.9146,2.88E+09,0.44,3428000,4.281,7673000,1.411,89560,1.076
9147000,0.7378,2679000,1.272,5404000,0.9054,2.88E+09,0.44,2691000,8.478,35150000,0.7665,102200,1.019
4751000,1.276,2817000,1.339,3781000,1.45,2.88E+09,0.44,2716000,7.992,118500000,0.5986,81780,1.209
15840000,0.6636,2919000,1.116,3752000,1.262,2.43E+09,0.4375,3.00E+06,5.744,118500000,0.5729,90200,1.05
25860000,0.4432,3198000,1.11,4271000,1.1,2.43E+09,0.4375,4511000,2.593,384500000,0.3711,110900,1.173
18600000,0.5737,2717000,1.289,4281000,1.369,3.05E+09,0.4202,5064000,2.314,19710000,0.7741,47130,0.6348
8956000,0.8424,3148000,1.171,3431000,1.378,9.45E+09,0.4747,4275000,2.97,215700000,0.4868,102700,0.9472
9235000,0.7337,3099000,1.258,3769000,1.357,9.45E+09,0.4747,4282000,3.096,47610000,0.5851,79800,0.9332
4849000,1.42,2804000,1.09,5750000,1.022,9.45E+09,0.4747,2842000,7.198,14700000,0.9473,91540,1.082
19540000,0.5802,2641000,1.364,3990000,1.177,9.45E+09,0.4747,2843000,6.889,40210000,0.5511,79110,0.8906
11840000,0.6424,3660000,0.938,6618000,0.8061,5784000,4.049,2686000,8.862,162400000,0.5129,148500,0.8896
6643000,0.9064,3071000,1.312,4220000,1.203,24620000,1.099,2675000,8.266,25940000,0.6614,91810,1.17
5329000,1.059,2952000,1.113,5291000,1.195,3.82E+09,5.686,2656000,9.077,74120000,0.5689,103900,1.567
7182000,0.8275,2832000,1.398,3677000,1.489,34260000,4.304,2659000,8.866,26680000,0.7209,76790,0.9011
6519000,0.9013,2693000,1.454,6199000,0.8287,9228000,2.174,2729000,8.137,70100000,0.565,75590,1.043
10100000,0.732,3161000,1.48,4425000,1.141,1.04E+09,0.6198,5249000,2.332,89360000,0.5948,78280,1.063
8.00E+06,0.8033,4343000,0.9057,6346000,0.9414,46890000,1.068,2571000,9.999,934800000,0.3589,86390,0.9432
5800000,0.9358,2910000,1.07,4975000,0.9511,46850000,0.9516,2640000,9.539,201600000,0.4849,116200,0.8226
9441000,0.7409,3581000,1.051,7451000,0.906,13280000,1.652,2648000,9.461,32600000,0.6286,71980,0.9663
9648000,0.7461,2494000,1.342,3809000,1.355,13280000,1.652,2618000,9.899,28170000,0.7246,92120,0.8971
8330000,0.7492,3113000,1.115,5265000,0.9242,13280000,1.652,3746000,3.597,1.64E+08,0.4837,88740,0.7681
14470000,0.5306,3205000,1.133,3242000,1.497,11860000,2.32,2812000,7.414,14620000,0.8675,85920,0.8016
8775000,0.7563,3825000,1.028,5606000,1.02,1.10E+07,2.405,2566000,9.752,12410000,0.9995,78480,0.8147
7431000,0.8441,3504000,1.05,2861000,2.177,12500000,4.522,2686000,8.975,31770000,0.8199,112600,1.144
4766000,1.042,2986000,1.121,2728000,1.875,159900000,4.2,2800000,7.015,67110000,0.6672,108900,0.7026
5934000,1.097,3563000,1.14,4990000,0.9144,710600000,0.678,5397000,2.329,15180000,1.015,106400,1.104
7585000,0.8359,3526000,1.082,3953000,1.243,30170000,1.294,5252000,2.499,156700000,0.4917,81360,1.254
19380000,0.5708,3551000,1.144,3888000,1.283,21490000,1.489,4318000,2.754,2.11E+09,0.3199,90910,1.473
10860000,0.8069,2912000,1.455,4841000,1.194,35090000,1.061,4967000,2.623,134100000,0.4588,126400,1.039
7419000,0.8387,3108000,1.281,4308000,1.117,41800000,0.9544,5395000,2.147,38750000,0.6977,120400,1.612
6997000,0.9507,3602000,1.002,2691000,1.509,62310000,1.075,5218000,2.536,26990000,0.7912,54890,1.061
6207000,0.9404,3087000,1.283,3796000,1.062,10640000,2.216,5568000,2.398,205600000,0.4716,123100,1.092
6663000,0.8729,3325000,1.056,4140000,1.124,13400000,1.581,6136000,2.103,43900000,0.637,92150,1.14
5602000,0.8929,4132000,0.9094,4463000,0.9961,11840000,1.474,6096000,1.91,14250000,0.976,57190,0.8482
6128000,0.9507,3169000,1.131,4616000,0.9273,3.47E+09,0.4309,6620000,1.914,1.14E+09,0.3408,83010,0.9347
5200000,1.099,3853000,0.9223,5725000,0.8316,2.03E+09,0.4936,6403000,1.876,4.17E+09,0.2936,92090,1.165
6430000,0.8958,3449000,0.9932,4174000,1.071,2.14E+09,0.4949,6017000,2.069,258600000,0.4635,85350,0.9761
